id,title,artist_ids,popularity,release_date
59qrUpoplZxbIZxk6X0Bm3,"Take You Dancing","['07YZf4WDAMNwqr4jfgOZ8y']",87,2020-07-22
5JqZ3oqF00jkT81foAFvqg,"Prisoner (feat. Dua Lipa)","['5YGY8feqx7naU7z4HrwZM6', '6M2wZ9GZgrQXHCFfjv46we']",87,2020-11-20
5y7DaS3jAc9eZzcSOoUIwU,"Una Locura","['1i8SpTcr7yvPOmcqrbnVXY', '1vyhD5VmyZ7KMfW5gqLgo5', '37230BxxYs9ksS7OkZw3IU']",87,2020-09-04
0siYMEsGrzzzlWLXK5zJfS,"BED","['6DgP9otnZw5z6daOntINxp', '5KKpBU5eC2tJDzf0wmlRp2', '1Cs0zKBU1kc0i8ypK3B9ai']",87,2021-02-26
58pgi1RpcU2fVJsxhm7BIr,"Tapão Na Raba","['0NiaKn55OzJswiYevvlKfz']",87,2021-01-22
7FdUvDkaE24o3FPIWTvzv2,"Follow You","['53XhwfbYqKCa1cC15pYq2q']",87,2021-03-12
0ofHAoxe9vBkTCp2UQIavz,"Dreams - 2004 Remaster","['08GQAI4eElDnROBrJRGE0X']",86,1977-02-04
2WfaOiMkCvy7F5fcp2zZ8L,"Take on Me","['2jzc5TC5TVFLXQlBNiIUzE']",86,1985-06-01
3AJwUDP919kvQ9QcozQPxg,"Yellow","['4gzpq5DPGxSnKTe4SA8HAU']",86,2000-07-10
2kS6td1yvmpNgZTt1q5pQq,"Hayloft","['0e86yPdC41PGRkLp2Q1Bph']",86,2008-09-23
086myS9r57YsLbJpU0TgK9,"Why'd You Only Call Me When You're High?","['7Ln80lUS6He07XvHI8qqHH']",86,2013-09-09
0ct6r3EGTcMLPtrXHDvVjc,"The Nights","['1vCWHaC5f2uS3yhpwWbIA6']",86,2014-01-01
6K4t31amVTZDgR3sKmwUJJ,"The Less I Know The Better","['5INjqkS1o8h1imAzPqGZBb']",86,2015-07-17
